ERROR_NOTINSTALLED	Konsola administracyjna Kaspersky Administration Kit nie zosta³a zainstalowana.		
REGVALUE_INSTALLKEY_TASK	Instalacja klucza licencyjnego	
REGVALUE_ODS_TASK	Skanowanie antywirusowe	
REGVALUE_PRODUCTNAME_FS	Kaspersky Anti-Virus 6.0 for Windows File Servers	
REGVALUE_PRODUCTNAME_WKS	Kaspersky Anti-Virus 6.0 for Windows Workstations	
REGVALUE_ROLLBACK_TASK	Cofniêcie aktualizacji		
REGVALUE_UPDATER_TASK	Aktualizacja	
COMPANY_NAME	Kaspersky Lab	
DN_AlwaysInstall	Zawsze instaluj	
FEATURE_MAIN	Funkcje podstawowe	
IDPROP_ARPCOMMENTS	Kompletna ochrona systemów komputerowych	
IDPROP_ARPCONTACT	Dzia³ pomocy technicznej	
IDPROP_ARPHELPLINK	http://kaspersky.pl/services.html?s=support	
IDPROP_ARPHELPTELEPHONE	(34) 368 18 14	
IDPROP_ARPURLINFOABOUT	http://www.kaspersky.pl	
IDPROP_ARPURLUPDATEINFO	http://kaspersky.pl/download.html?s=updates	
IDPROP_EXPRESS_LAUNCH_CONDITION_COLOR	Ustawienia kolorów w systemie nie s¹ odpowiednie do uruchomienia programu [ProductName].	
IDPROP_EXPRESS_LAUNCH_CONDITION_OS	System operacyjny nie jest odpowiedni do uruchomienia programu [ProductName].	
IDPROP_EXPRESS_LAUNCH_CONDITION_PROCESSOR	Procesor nie jest odpowiedni do uruchomienia programu [ProductName].	
IDPROP_EXPRESS_LAUNCH_CONDITION_RAM	Iloœæ pamiêci RAM jest niewystarczaj¹ca do uruchomienia programu [ProductName].	
IDPROP_EXPRESS_LAUNCH_CONDITION_SCREEN	Rozdzielczoœæ ekranu jest niewystarczaj¹ca do uruchomienia programu [ProductName].	
IDPROP_SETUPTYPE_COMPACT	Minimalna	
IDPROP_SETUPTYPE_COMPACT_DESC	Opis instalacji minimalnej	
IDPROP_SETUPTYPE_CUSTOM	Niestandardowa	
IDPROP_SETUPTYPE_CUSTOM_DESC	Opis instalacji niestandardowej	
IDPROP_SETUPTYPE_TYPICAL	Standardowa	
IDPROP_SETUPTYPE_TYPICAL_DESC	Opis instalacji standardowej	
IDS__AgreeToLicense_0	&Nie akceptujê warunków i postanowieñ umowy licencyjnej	
IDS__AgreeToLicense_1	&Akceptujê warunki i postanowienia umowy licencyjnej	
IDS__DatabaseFolder_0	[ProductName] - InstallShield Wizard	
IDS__DatabaseFolder_1	Anuluj	
IDS__DatabaseFolder_10	Instaluj bazê danych aplikacji [ProductName] do:	
IDS__DatabaseFolder_11	<ISProductFolder>\Redist\Language Independent\OS Independent\IsDialogBanner.ibd	
IDS__DatabaseFolder_12	<ISProductFolder>\Redist\Language Independent\OS Independent\DestIcon.ibd	
IDS__DatabaseFolder_2	InstallShield	
IDS__DatabaseFolder_3	{&MSSWhiteSerif8}InstallShield	
IDS__DatabaseFolder_4	Kliknij przycisk Dalej, aby zainstalowaæ program w tym folderze lub przycisk Zmieñ, aby wskazaæ inn¹ lokalizacjê.	
IDS__DatabaseFolder_5	{&MSSansBold8}Folder bazy danych	
IDS__DatabaseFolder_6	< &Wstecz	
IDS__DatabaseFolder_7	&Dalej >	
IDS__DatabaseFolder_8	&Zmieñ	
IDS__DatabaseFolder_9	[DATABASEDIR]	
IDS__DestinationFolder_0	[ProductName] - InstallShield Wizard	
IDS__DestinationFolder_1	Anuluj	
IDS__DestinationFolder_10	Zainstaluj program [ProductName] w:	
IDS__DestinationFolder_11	<ISProductFolder>\Redist\Language Independent\OS Independent\IsDialogBanner.ibd	
IDS__DestinationFolder_12	<ISProductFolder>\Redist\Language Independent\OS Independent\DestIcon.ibd	
IDS__DestinationFolder_2	InstallShield	
IDS__DestinationFolder_3	{&MSSWhiteSerif8}InstallShield	
IDS__DestinationFolder_4	Kliknij przycisk Dalej, aby zainstalowaæ program w tym folderze lub przycisk Zmieñ, aby wskazaæ inn¹ lokalizacjê.	
IDS__DestinationFolder_5	{&MSSansBold8}Folder docelowy	
IDS__DestinationFolder_6	< &Wstecz	
IDS__DestinationFolder_7	&Dalej >	
IDS__DestinationFolder_8	&Zmieñ	
IDS__DestinationFolder_9	[INSTALLDIR]	
IDS__DisplayName_Custom	Niestandardowa	
IDS__DisplayName_Minimal	Minimalna	
IDS__DisplayName_Typical	Standardowa	
IDS__IsAdminInstallBrowse_0	[ProductName] - InstallShield Wizard	
IDS__IsAdminInstallBrowse_1	{&MSSWhiteSerif8}InstallShield	
IDS__IsAdminInstallBrowse_10	OK	
IDS__IsAdminInstallBrowse_11		
IDS__IsAdminInstallBrowse_12	&Nazwa foldera:	
IDS__IsAdminInstallBrowse_13	Do góry o jeden poziom|	
IDS__IsAdminInstallBrowse_14	<ISProductFolder>\Redist\Language Independent\OS Independent\IsDialogBanner.ibd	
IDS__IsAdminInstallBrowse_15	<ISProductFolder>\Redist\Language Independent\OS Independent\New.ibd	
IDS__IsAdminInstallBrowse_16	<ISProductFolder>\Redist\Language Independent\OS Independent\Up.ibd	
IDS__IsAdminInstallBrowse_2	InstallShield	
IDS__IsAdminInstallBrowse_3	Anuluj	
IDS__IsAdminInstallBrowse_4		
IDS__IsAdminInstallBrowse_5	&Szukaj w:	
IDS__IsAdminInstallBrowse_6	Wybór foldera docelowego.	
IDS__IsAdminInstallBrowse_7	{&MSSansBold8}Zmieñ aktualny folder docelowy	
IDS__IsAdminInstallBrowse_8		
IDS__IsAdminInstallBrowse_9	Utwórz nowy folder|	
IDS__IsAdminInstallPoint_0	[ProductName] - InstallShield Wizard	
IDS__IsAdminInstallPoint_1	< &Wstecz	
IDS__IsAdminInstallPoint_10	&Folder sieciowy:	
IDS__IsAdminInstallPoint_11	<ISProductFolder>\Redist\Language Independent\OS Independent\IsDialogBanner.ibd	
IDS__IsAdminInstallPoint_2	{&MSSWhiteSerif8}InstallShield	
IDS__IsAdminInstallPoint_3	InstallShield	
IDS__IsAdminInstallPoint_4	&Zmieñ	
IDS__IsAdminInstallPoint_5	Anuluj	
IDS__IsAdminInstallPoint_6	Okreœl lokalizacjê w sieci dla obrazu programu na serwerze.	
IDS__IsAdminInstallPoint_7	WprowadŸ lokalizacjê w sieci lub kliknij przycisk Zmieñ, aby j¹ wskazaæ. Kliknij przycisk Instaluj, aby utworzyæ obraz programu [ProductName] na serwerze w podanej lokalizacji w sieci lub kliknij przycisk Anuluj, aby zakoñczyæ pracê z kreatorem.	
IDS__IsAdminInstallPoint_8	{&MSSansBold8}Folder sieciowy	
IDS__IsAdminInstallPoint_9	&Instaluj	
IDS__IsAdminInstallPointWelcome_0	[ProductName] - InstallShield Wizard	
IDS__IsAdminInstallPointWelcome_1	< &Wstecz	
IDS__IsAdminInstallPointWelcome_2	Anuluj	
IDS__IsAdminInstallPointWelcome_3	&Dalej >	
IDS__IsAdminInstallPointWelcome_4	{&TahomaBold10}Witamy w kreatorze InstallShield Wizard dla [ProductName]	
IDS__IsAdminInstallPointWelcome_5	InstallShield(R) Wizard utworzy obraz programu [ProductName] na serwerze, w okreœlonej lokalizacji w sieci. Aby kontynuowaæ kliknij przycisk Dalej.	
IDS__IsAdminInstallPointWelcome_6	<ISProductFolder>\Redist\Language Independent\OS Independent\IsDialogBitmap.ibd	
IDS__IsBitmapDlg_0	[ProductName] - InstallShield Wizard	
IDS__IsBitmapDlg_1	< &Wstecz	
IDS__IsBitmapDlg_2	{&MSSWhiteSerif8}InstallShield	
IDS__IsBitmapDlg_3	InstallShield	
